,Geo_Place,Geo_Country,English_Country
12634,"The Dentist, Eagle Ridge, Port Moody, Metro Vancouver Regional District, British Columbia, V3H 5G1, Canada", Canada, Canada
12636,"u.s.a, شارع ترعه المحمودية, المحروسة, عزبة نوبار باشا, الإسكندرية, 21922, Egypt / مصر", Egypt / مصر,Egypt
12637,"The Spain, Tilmore, Petersfield, East Hampshire, Hampshire, South East, England, GU32 3NQ, United Kingdom", United Kingdom, United Kingdom
12639,"Деревня, Жовківський район, Львівська область, 80343, Україна", Україна, Ukraine
12641,"Charlotte, Mecklenburg County, North Carolina, United States of America", United States of America, United States of America
12642,"Ibu Pejabat Jabatan Bomba dan Penyelamat Malaysia Wilayah Persekutuan Kuala Lumpur, Jalan Choo Cheng Khay, Bukit Petaling, Pudu, Kuala Lumpur, 5000, Malaysia", Malaysia, Malaysia
12644,República Dominicana,República Dominicana,Dominican Republic
12645,"Rainland Court, Southwind, Arlington, Tarrant County, Texas, 76002, United States of America", United States of America, United States of America
12647,"Maceió, Microrregião de Maceió, Mesorregião Leste Alagoano, Alagoas, Região Nordeste, Brasil", Brasil, Brazil
12648,"Melbourne Water Pipeline, Mount Waverley, City of Monash, Victoria, Australia", Australia, Australia
12650,"Riau, Indonesia", Indonesia, Indonesia
12651,"Faribault County, Minnesota, United States of America", United States of America, United States of America
12652,"Davenport, Scott County, Iowa, United States of America", United States of America, United States of America
12653,대한민국,대한민국,Republic of Korea
12654,"Newport, Newport County, Rhode Island, United States of America", United States of America, United States of America
12658,"Viterbo, Lazio, Italia", Italia, Italy
12659,Asia,Asia,Asia
12660,"Stonehenge, The Avenue, Amesbury, Larkhill, Wiltshire, South West England, England, SP3 4DX, United Kingdom", United Kingdom, United Kingdom
12661,"Tamil Nadu, India", India, India
12662,"Richmond, London, Greater London, England, TW9 1DY, United Kingdom", United Kingdom, United Kingdom
12663,"Saint Marteen Court Southwest, Sandtown, Fulton County, Georgia, 30331, United States of America", United States of America, United States of America
12664,"炮台山 Fortress Hill, 238, 英皇道 King's Road, 炮台山 Fortress Hill, 北角 North Point, 中區 Central District, 香港 Hong Kong, 東區 Eastern District, 香港島 Hong Kong Island, 999077, China 中国", China 中国,China
12665,Grenada,Grenada,Grenada
12666,"George Town, Timur Laut, Pulau Pinang, 10000, Malaysia", Malaysia, Malaysia
12667,"Downtown, St. Louis, City of Saint Louis, Missouri, United States of America", United States of America, United States of America
12668,"Castilla-La Mancha, España", España,Spain
12669,"フィンランド大使館, 阿衡坂, 麻布, 南青山6, 東京都, 港区, 1060047, 日本 (Japan)", 日本 (Japan), Japan
12670,"เกาะพะงัน, จังหวัดสุราษฎร์ธานี, ประเทศไทย", ประเทศไทย, Thailand
12671,"Lugano, Circolo di Lugano ovest, Distretto di Lugano, Ticino, Switzerland", Switzerland, Switzerland
12673,"Enschede, Overijssel, Nederland", Nederland,Netherlands
12674,"Nairobi, Kenya", Kenya, Kenya
12677,"بيروت, رأس بيروت, محافظة بيروت, لبنان  Lebanon", لبنان  Lebanon, Lebanon  Lebanon
12678,"Sunny Days, Barker Road, Marewa, Napier, Napier City, Hawke's Bay, 4110, New Zealand", New Zealand, New Zealand
12679,"Pinto, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28320, España", España,Spain
12680,"Richmond Vale, Cessnock, Cessnock City Council, 2323, Australia", Australia, Australia
12681,"Düsseldorf, Nordrhein-Westfalen, 40213, Deutschland", Deutschland, Germany
12682,"Chicago, Cook County, Illinois, United States of America", United States of America, United States of America
12684,"Pineville, Bell County, Kentucky, United States of America", United States of America, United States of America
12685,"Onitsha, Onitsha North, Anambra, 430231, Nigeria", Nigeria, Nigeria
12687,"Burstel, Hirzel, Bezirk Horgen, Zürich, 8816, Switzerland", Switzerland, Switzerland
12688,"Stanford University, Addison Avenue, University South, Palo Alto, Santa Clara County, California, 94301, United States of America", United States of America, United States of America
12689,"Coast, 469, Charlton Esplanade, Scarness, Hervey Bay, Queensland, 4655, Australia", Australia, Australia
12691,"Tanauan City, Southern Tagalog Arterial Road, Tapia Subdivision, Trapiche, Tanauan, Batangas, Calabarzon, 4232, Philippines", Philippines, Philippines
12692,"桑达，乃琼, 拉萨机场高速 ལྷ་ས་གནམ་གྲུ་ཐང་མྱུར་བགྲོད་ལམ།, 柳梧乡, སྟོད་ལུང་བདེ་ཆེན་རྫོང་ / 堆龙德庆区 / Doilungdêqên, ལྷ་ས་གྲོང་ཁྱེར་ / 拉萨市 / Lhasa, 西藏自治区, China 中国", China 中国,China
12693,"The Circus, Brock Street, Kingsmead, Bath, Bath and North East Somerset, South West England, England, BA1 2LN, United Kingdom", United Kingdom, United Kingdom
12696,"Amravati, Maharashtra, India", India, India
12697,"Alamogordo, Otero County, New Mexico, United States of America", United States of America, United States of America
12698,"Heaven, Villiers Street, St Clement Danes, Covent Garden, City of Westminster, London, Greater London, England, WC2N 6NG, United Kingdom", United Kingdom, United Kingdom
12699,"Montalvo, Ventura, Ventura County, California, 93009, United States of America", United States of America, United States of America
12700,"Richmond, Richmond City, Virginia, 23298, United States of America", United States of America, United States of America
12701,"Federal Territory of Kuala Lumpur, Malaysia", Malaysia, Malaysia
12702,"Benidorm, la Marina Baixa, Alacant / Alicante, Comunitat Valenciana, España", España,Spain
12703,"رج, ملایعقوب, بخش مرکزی, شهرستان سراب, استان آذربایجان شرقی, ایران", ایران, Iran
12706,"Carrington, Foster County, North Dakota, 58421, United States of America", United States of America, United States of America
12707,"Andra La, Mipi, Upper Dibang Valley, Arunachal Pradesh, India", India, India
12708,"みずほ銀行, 玉川通り, 船橋, 東京都, 世田谷区, 158-0094, 日本 (Japan)", 日本 (Japan), Japan
12711,"Campus University of the Free State Qwaqwa, Maluti-a-Phofung Ward 34, Maluti-a-Phofung Local Municipality, Thabo Mofutsanyana District Municipality, Free State, South Africa", South Africa, South Africa
12712,"St Albans, Hertfordshire, East of England, England, United Kingdom", United Kingdom, United Kingdom
12714,"Levent Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34330, Türkiye", Türkiye,Turkey
12715,"Middlesbrough, North East England, England, United Kingdom", United Kingdom, United Kingdom
12717,"Crystal Lake, McHenry County, Illinois, United States of America", United States of America, United States of America
12718,"Kingman Wash Access Road, Mohave County, Arizona, 89006, United States of America", United States of America, United States of America
12719,"Oak Ridge, Anderson County, Tennessee, United States of America", United States of America, United States of America
12720,"Hermosa Beach, Los Angeles County, California, 90254, United States of America", United States of America, United States of America
12722,"Kisima, Samburu, Kenya", Kenya, Kenya
12723,"Universal, Viana, Microrregião Vitória, Região Metropolitana da Grande Vitória, Mesorregião Central Espírito-Santense, Espírito Santo, Região Sudeste, Brasil", Brasil, Brazil
12724,"Echo, Umatilla County, Oregon, United States of America", United States of America, United States of America
12726,"Visakhapatnam, Visakhapatnam (Urban), Visakhapatnam, Andhra Pradesh, 530001, India", India, India
12728,"Memphis Drive, Tacketts Mill, Stafford County, Virginia, 22739, United States of America", United States of America, United States of America
12729,"Le France, 12, Rue de l'Ancienne-Poste, Chez Thouny, Vallorbe, District du Jura-Nord vaudois, Vaud, 1337, Switzerland", Switzerland, Switzerland
12730,"Чорнобиль, Іванківський район, Київська область, 07270, Україна", Україна, Ukraine
12734,"Leuven, Vlaams-Brabant, Vlaanderen, België - Belgique - Belgien", België - Belgique - Belgien,Belgium
12737,"Pasadena, Anne Arundel County, Maryland, United States of America", United States of America, United States of America
12738,"Regina, Census Division No. 6, Saskatchewan, Canada", Canada, Canada
12741,"Emilia-Romagna, Italia", Italia, Italy
12742,"山梨県, 日本 (Japan)", 日本 (Japan), Japan
12744,"Clifton Heights, Delaware County, Pennsylvania, United States of America", United States of America, United States of America
12746,"Colorado, United States of America", United States of America, United States of America
12747,"Wien, 1010, Österreich", Österreich, Austria
12748,"Carouge, Genève, 1227, Switzerland", Switzerland, Switzerland
12750,"Blanes, Selva, Girona, Catalunya, 17300, España", España,Spain
12751,"Our Lady Sacred Heart High School, Felician Drive, Moon Township, Allegheny County, Pennsylvania, 15108, United States of America", United States of America, United States of America
12752,"La Brive, Belley, Ain, Auvergne-Rhône-Alpes, France métropolitaine, 01680, France", France, France
12753,"Carmel-by-the-Sea, Monterey County, California, United States of America", United States of America, United States of America
12754,"Anne, Arrondissement de Jacmel, Département du Sud-Est, ZIMEUR, Haiti", Haiti, Haiti
12757,"Bahia, Região Nordeste, Brasil", Brasil, Brazil
12758,"السودان, السودان ‎al-Sūdān", السودان ‎al-Sūdān,Sudan
12759,"Osorno, Provincia de Osorno, Región de Los Lagos, Chile", Chile, Chile
12760,"Total Environment - Windmills Of Your Mind, Garudachara Palya, Mahadevapura Zone, Bengaluru, Bangalore East, Bangalore Urban, Karnataka, India", India, India
12761,"Mi Amor, 9, 2-й Брагинский проезд, Яблоневый посад, Дзержинский район, Ярославль, городской округ Ярославль, Ярославская область, Центральный федеральный округ, 150000, Россия", Россия, Russia
12762,"Guaymas, Sonora, México", México, Mexico
12763,"Veneto, Italia", Italia, Italy
12764,"SuperDARN (Goose Bay), Rivers Road, 700's, Goose Bay, Happy Valley-Goose Bay, Labrador, Newfoundland and Labrador, Canada", Canada, Canada
12765,"Ohio, United States of America", United States of America, United States of America
12770,"Amy, Compiègne, Oise, Hauts-de-France, France métropolitaine, 60310, France", France, France
12773,"Carcassonne, Aude, Occitanie, France métropolitaine, 11000, France", France, France
12774,"Texas, United States of America", United States of America, United States of America
12775,"대구, 대한민국", 대한민국,Republic of Korea
12776,"Serrinha, Microrregião de Serrinha, Mesorregião do Nordeste Baiano, Bahia, Região Nordeste, 48700000, Brasil", Brasil, Brazil
12778,"Jawa Barat, Indonesia", Indonesia, Indonesia
12779,"London, Greater London, England, SW1A 2DX, United Kingdom", United Kingdom, United Kingdom
12780,"Aragua, Central, Venezuela", Venezuela, Venezuela
12781,"Toronto Pearson International Airport, Highway 401 Express, Airport Corporate Centre, Mississauga, Peel Region, Golden Horseshoe, Ontario, L4W 5C7, Canada", Canada, Canada
12783,"Greer, Greenville County, Indian Land, United States of America", United States of America, United States of America
12784,"Cue Ñielol, Galvarino, Provincia de Cautín, Región de la Araucanía, Chile", Chile, Chile
12786,"London, Greater London, England, SW1A 2DX, United Kingdom", United Kingdom, United Kingdom
12787,"E. Leclerc, 191, Boulevard Macdonald, Quartier du Pont-de-Flandre, Paris, Île-de-France, France métropolitaine, 75019, France", France, France
12788,"Lake City, Florence County, Indian Land, 29560, United States of America", United States of America, United States of America
12789,"Hyannis, Barnstable, Barnstable County, Massachusetts, United States of America", United States of America, United States of America
12790,"Autopista por la Paz del Mundo, General Pedernera, San Luis, Argentina", Argentina, Argentina
12791,"Ávila, Valle Amblés y Sierra de Ávila, Ávila, Castilla y León, España", España,Spain
12792,"Cotabato City, Maguindanao, Soccsksargen, 9600, Philippines", Philippines, Philippines
12793,"Guárico, Venezuela", Venezuela, Venezuela
12794,"Santa Fe, Argentina", Argentina, Argentina
12796,"Messina, Sicilia, Italia", Italia, Italy
12799,"Highlands Ranch, Douglas County, Colorado, 80126, United States of America", United States of America, United States of America
12800,"Indramayu, Tanjung Agung, Muara Enim, Sumatera Selatan, Indonesia", Indonesia, Indonesia
12801,"San Jose, Santa Clara County, California, United States of America", United States of America, United States of America
12806,"古河市, 茨城県, 日本 (Japan)", 日本 (Japan), Japan
12807,"#1 Blue, Springfield, Walworth County, Wisconsin, United States of America", United States of America, United States of America
12808,"University of California, Santa Barbara, Santa Barbara County, California, 93106, United States of America", United States of America, United States of America
12809,"Pacific Paradise, Maroochydore, Queensland, 4564, Australia", Australia, Australia
12812,"Sucre, Provincia Oropeza, Chuquisaca, 9999, Bolivia", Bolivia, Bolivia
12813,"Candler-McAfee, DeKalb County, Georgia, 30032, United States of America", United States of America, United States of America
12814,"Bursa, Osmangazi, Bursa, Marmara Bölgesi, 16230, Türkiye", Türkiye,Turkey
12817,"Kpk House Islamabad, Agha Khan Road, F-5, اسلام آباد, وفاقی دارالحکومت اسلام آباد, 44000, پاکستان", پاکستان, Pakistan
12819,"TopDog Fireworks, Spencer Road, Estates of Highland Creek, Houston, Harris County, Texas, United States of America", United States of America, United States of America
12820,"Rivers Of Babylon Street, Diepsloot, Johannesburg Ward 95, Randburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2189, South Africa", South Africa, South Africa
12821,"Centro, Araranguá, Microrregião de Araranguá, Mesorregião do Sul Catarinense, Santa Catarina, Região Sul, Brasil", Brasil, Brazil
12822,"Brisbane, Queensland, 4004, Australia", Australia, Australia
12823,"Windsor, Southwestern Ontario, Ontario, N9A 3A8, Canada", Canada, Canada
12824,"Greeley, Weld County, Colorado, United States of America", United States of America, United States of America
12826,"La Baule-Escoublac, Saint-Nazaire, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44500, France", France, France
12827,"Calle Metro, Pinar de los Guisos, Chiclana de la Frontera, Bahía de Cádiz, Cádiz, Andalucía, 11130, España", España,Spain
12828,"السرة, مدينة الكويت, العاصمة, Kuwait / الكويت", Kuwait / الكويت,Kuwait
12830,"Diyarbakır, Güneydoğu Anadolu Bölgesi, Türkiye", Türkiye,Turkey
12831,"Finistère, Bretagne, France métropolitaine, France", France, France
12832,"بيروت, رأس بيروت, محافظة بيروت, لبنان  Lebanon", لبنان  Lebanon, Lebanon  Lebanon
12833,"Dartmouth, Halifax County, Nova Scotia, Canada", Canada, Canada
12834,"ڪراچي Karachi, Karāchi District, سنڌ, پاکستان", پاکستان, Pakistan
12835,"Secretaria de Comunicaciones Edomex, Paseo Vicente Guerrero, Colonia Morelos 1ra Sección, Toluca, Estado de México, 50170, México", México, Mexico
12836,"The Town, New Grimsby, Isles of Scilly, South West England, England, TR23 0PR, United Kingdom", United Kingdom, United Kingdom
12837,"Kolom, Lac البحيرة, Tchad / تشاد", Tchad / تشاد,Chad
12839,"Manaus, Microrregião de Manaus, Mesorregião Centro Amazonense, Amazonas, Região Norte, 69000-000, Brasil", Brasil, Brazil
12840,"Hillcrest High School, 1900, Dauphin Road, Elmvale, Alta Vista, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1G 2L7, Canada", Canada, Canada
12841,"Cádiz, Bahía de Cádiz, Cádiz, Andalucía, España", España,Spain
12842,"Stolen Spice Track, Trevallyn, Launceston, West Tamar, Tasmania, 7250, Australia", Australia, Australia
12843,"สระบุรี, จังหวัดสระบุรี, 18000, ประเทศไทย", ประเทศไทย, Thailand
12845,"God Bless America, River Birch Allée, Chewalla Park, Hamilton Township, Mercer County, New Jersey, 08619, United States of America", United States of America, United States of America
12847,"Itzy Bitzy, Bridge Street, Maxwellheugh, Kelso, Scottish Borders, Scotland, TD5 7HT, United Kingdom", United Kingdom, United Kingdom
12848,"New York, United States of America", United States of America, United States of America
12851,"Asunción, Región Oriental, Paraguay", Paraguay, Paraguay
12853,"Degré, Mamers, Sarthe, Pays de la Loire, France métropolitaine, 72550, France", France, France
12854,"木南, 三河镇, 肥西县 (Feixi), 安徽省, 231200, China 中国", China 中国,China
12855,"Central Kuta Money Exchange, Jalan Raya Ubud, Kutuh, Batuh, Ubud, Bali, 80571, Indonesia", Indonesia, Indonesia
12856,"مظفر آباد, ضلع مظفر آباد, آزاد جموں و کشمیر, 13100, پاکستان", پاکستان, Pakistan
12857,"Tacoma, Pierce County, Washington, United States of America", United States of America, United States of America
12859,"Belo Horizonte, Microrregião Belo Horizonte, Região Metropolitana de Belo Horizonte, Mesorregião Metropolitana de Belo Horizonte, Minas Gerais, Região Sudeste, Brasil", Brasil, Brazil
12860,"Concaran, Concarán, Municipio de Concarán, Chacabuco, San Luis, 5770, Argentina", Argentina, Argentina
12861,"Christchurch, Canterbury, New Zealand", New Zealand, New Zealand
12862,"Surat, Katargam Taluka, Surat, Gujarat, 395001, India", India, India
12863,"MPLS Divisional Office, 9, Parks Road, Norham Manor, Oxford, Oxfordshire, South East, England, OX1 3PD, United Kingdom", United Kingdom, United Kingdom
12866,"Tula de Allende, Hidalgo, México", México, Mexico
12867,"Lille, Nord, Hauts-de-France, France métropolitaine, France", France, France
12868,"S Wing, Walk-in, Don Valley West, North York, Toronto, Golden Horseshoe, Ontario, M4N 3M5, Canada", Canada, Canada
12870,"Toronto Pearson International Airport, Highway 401 Express, Airport Corporate Centre, Mississauga, Peel Region, Golden Horseshoe, Ontario, L4W 5C7, Canada", Canada, Canada
12871,Malaysia,Malaysia,Malaysia
12872,"Zzzzzzz, Ba Mươi Tháng Tư, Dương Đông, Huyện Phú Quốc, 922204, Việt Nam", Việt Nam,Vietnam
12873,"Central, Yolo County, California, 95612, United States of America", United States of America, United States of America
12874,"沁县, 长治市, 山西省, China 中国", China 中国,China
12875,"Florianópolis, Microrregião de Florianópolis, Mesorregião da Grande Florianópolis, Santa Catarina, Região Sul, Brasil", Brasil, Brazil
12876,"Batu Pahat, Johor, 83000, Malaysia", Malaysia, Malaysia
12877,"Lyssach, Verwaltungskreis Emmental, Verwaltungsregion Emmental-Oberaargau, Bern/Berne, 3421, Switzerland", Switzerland, Switzerland
12879,"Le Monde, Xures, Lunéville, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54370, France", France, France
12881,"Rosedale, Queens, Queens County, New York, 11422, United States of America", United States of America, United States of America
12882,"Costa Mesa, Orange County, California, United States of America", United States of America, United States of America
12883,"Cathedral City, Long Canyon Road, Riverside County, California, United States of America", United States of America, United States of America
12885,"West Cork, County Cork, Munster, Ireland", Ireland, Ireland
12888,"North Port, Sarasota County, Florida, United States of America", United States of America, United States of America
12889,"Accra, Accra Metropolitan, Greater Accra Region, 000000, Ghana", Ghana, Ghana
12891,"Iztapalapa, Ciudad de México, México", México, Mexico
12892,"New Orleans, Orleans Parish, Louisiana, United States of America", United States of America, United States of America
12893,"2015, Grandin Road Southwest, Cave Spring, Roanoke, Virginia, 24015, United States of America", United States of America, United States of America
12895,"福岡空港, 福岡県福岡市博多区下臼井778-1, 県道551号, 千代四丁目, 博多区, 福岡市, 福岡県, 812-0041, 日本 (Japan)", 日本 (Japan), Japan
12897,"Downtown, Los Angeles, Los Angeles County, California, United States of America", United States of America, United States of America
12898,"Templeton, Templeton Station Road, Burkeville, Richmond, Metro Vancouver Regional District, British Columbia, V7B 0B7, Canada", Canada, Canada
12899,"Greenfield, Franklin County, Massachusetts, 01301, United States of America", United States of America, United States of America
12902,"Unitrd States Post Office Barrington Station, South Barrington Avenue, Westgate Heights, Brentwood, Los Angeles, Los Angeles County, California, 90049, United States of America", United States of America, United States of America
12903,"Indio, Riverside County, California, United States of America", United States of America, United States of America
12904,"Suame, Kumasi, Ashanti Region, M9VH+94, Ghana", Ghana, Ghana
12906,"Fountain Valley, Fountain 1, Squamish-Lillooet Regional District, British Columbia, Canada", Canada, Canada
12907,"Clermont-Ferrand, Puy-de-Dôme, Auvergne-Rhône-Alpes, France métropolitaine, France", France, France
12908,"Global-E, Haansbergseweg, De Haansberg, Rijen, Gilze en Rijen, Noord-Brabant, Nederland, 5121ML, Nederland", Nederland,Netherlands
12909,"Tegal, Jawa Tengah, Indonesia", Indonesia, Indonesia
12910,"Hell, Putnam Township, Livingston County, Michigan, United States of America", United States of America, United States of America
12911,"San Diego, San Diego County, California, United States of America", United States of America, United States of America
12913,"ویه, کلیشم, بخش عمارلو, شهرستان رودبار, استان گیلان, ایران", ایران, Iran
12914,"Town of Gallatin, Columbia County, New York, United States of America", United States of America, United States of America
12915,"مكة, منطقة مكة المكرمة, 24231, Saudi Arabia / السعودية", Saudi Arabia / السعودية, Saudi Arabia / Saudi
12916,"H2O Herford, 90, Wiesestraße, Friedenstal, Herford, Kreis Herford, Nordrhein-Westfalen, 32052, Deutschland", Deutschland, Germany
12917,"Santiago, Sesimbra, Setúbal, Península de Setúbal, Área Metropolitana de Lisboa, 2970, Portugal", Portugal, Portugal
12918,"Bhiwadi, Tijara Tehsil, Alwar, Rajasthan, 301019, India", India, India
12919,"Rhinelander, Oneida County, Wisconsin, 54501, United States of America", United States of America, United States of America
12920,"Cileungsi, Depok, Jawa Barat, 17151, Indonesia", Indonesia, Indonesia
12921,"太子 Prince Edward, 彌敦道 Nathan Road, 加多利山 Kadoorie Hill, 旺角 Mong Kok, 九龍 Kowloon, 香港 Hong Kong, 深水埗區 Sham Shui Po District, China 中国", China 中国,China
12923,"Lagos, Lagos Island, Lagos, 100242, Nigeria", Nigeria, Nigeria
12924,"Florida, United States of America", United States of America, United States of America
12927,Guyana,Guyana,Guyana
12929,"Sint-Niklaas, Oost-Vlaanderen, Vlaanderen, België - Belgique - Belgien", België - Belgique - Belgien,Belgium
12930,"정연리, 철원군, 강원도, 대한민국", 대한민국,Republic of Korea
12936,"Batesville, Independence County, Arkansas, 72501, United States of America", United States of America, United States of America
12937,"Behind the Mill Dam, Belfast, Waldo County, Maine, 049154, United States of America", United States of America, United States of America
12943,"Bumi, Nabire, Papua, Indonesia", Indonesia, Indonesia
12946,"Punto Fijo, Municipio Carirubana, Falcón, Región Centroccidental, 4102, Venezuela", Venezuela, Venezuela
12947,"Swithland, Leicestershire, East Midlands, England, LE12 8TQ, United Kingdom", United Kingdom, United Kingdom
12948,Suomi,Suomi,Suomi
12950,"Yorktown, York County, Virginia, United States of America", United States of America, United States of America
12951,"Somewhere, X302, 贾汪区, 贾汪区 (Jiawang), 徐州市 / Xuzhou, 江苏省, China 中国", China 中国,China
12952,"West Hartford, Hartford County, Connecticut, United States of America", United States of America, United States of America
12953,"Kota Batam, Batam, Kepulauan Riau, 29464, Indonesia", Indonesia, Indonesia
12954,"Huaquillas, El Oro, 070703, Ecuador", Ecuador, Ecuador
12955,"Wien, 1010, Österreich", Österreich, Austria
12958,"Texas, United States of America", United States of America, United States of America
12959,Portugal,Portugal,Portugal
12961,"Rocky River, Cuyahoga County, Ohio, 44116, United States of America", United States of America, United States of America
12963,"Almere, Flevoland, Nederland", Nederland,Netherlands
12964,"At Home, Crossroads Boulevard, Waterloo, Black Hawk County, Iowa, 50705, United States of America", United States of America, United States of America
12968,"Linz, Oberösterreich, 4041, Österreich", Österreich, Austria
12971,"Lexington, Fayette County, Kentucky, 40508, United States of America", United States of America, United States of America
12972,Canada,Canada,Canada
12973,"Surrey, South East, England, United Kingdom", United Kingdom, United Kingdom
12974,"Milano, Lombardia, Italia", Italia, Italy
12975,"D.F., Calichal, Tuxtla Gutiérrez, Chiapas, 29066, México", México, Mexico
12976,"Le Mans, Corné, Loire-Authion, Angers, Maine-et-Loire, Pays de la Loire, France métropolitaine, 49630, France", France, France
12977,"Reading, Berks County, Pennsylvania, United States of America", United States of America, United States of America
12978,"Mountain Home, Elmore County, Idaho, United States of America", United States of America, United States of America
12979,"Bikaner, Bikaner Tehsil, Bikaner, Rajasthan, 334001, India", India, India
12981,"Planet Earth Gallery, 2385, PA 611, Scotrun, Pocono Township, Monroe County, Pennsylvania, 18355, United States of America", United States of America, United States of America
12983,"State College, Centre County, Pennsylvania, United States of America", United States of America, United States of America
12985,"Jefferson County, Texas, United States of America", United States of America, United States of America
12987,"Viña del Mar, Provincia de Valparaíso, Región de Valparaíso, Chile", Chile, Chile
12988,"Hopewell, Hopewell City, Virginia, 23860, United States of America", United States of America, United States of America
12989,Chile,Chile,Chile
12991,"Kuala Pilah, 72000, Malaysia", Malaysia, Malaysia
12994,"Иркутск, городской округ Иркутск, Иркутская область, Сибирский федеральный округ, Россия", Россия, Russia
12995,"Bari, Puglia, Italia", Italia, Italy
12996,"Ganges, Lodève, Hérault, Occitanie, France métropolitaine, 34190, France", France, France
12999,"Miami, Miami-Dade County, Florida, United States of America", United States of America, United States of America
13000,"Japaratinga, Microrregião do Litoral Norte Alagoano, Mesorregião Leste Alagoano, Alagoas, Região Nordeste, Brasil", Brasil, Brazil
13001,"Indore, Madhya Pradesh, 452001, India", India, India
13002,"Robert Gabriel Mugabe International Airport, Airport, Hatfield, Harare, Harare Province, Zimbabwe", Zimbabwe, Zimbabwe
13003,"Languedoc, Avenue du Languedoc, Espace Polygone, Perpignan, Pyrénées-Orientales, Occitanie, France métropolitaine, 66380, France", France, France
13004,"Pontevedra, Quintas de don Simón, Comuna 17, Perímetro Urbano Santiago de Cali, Cali, Valle del Cauca, Colombia", Colombia, Colombia
13006,"دبي, 24857, United Arab Emirates", United Arab Emirates, United Arab Emirates
13007,"Your Phone, 411, Altenessener Straße, Altenessen-Nord, Stadtbezirk V, Essen, Nordrhein-Westfalen, 45329, Deutschland", Deutschland, Germany
13011,"经盘村, 合江县, 泸州市, 四川省, China 中国", China 中国,China
13012,"حیدرآباد, Gilgit District, گلگت بلتستان, پاکستان", پاکستان, Pakistan
13013,"千葉県, 日本 (Japan)", 日本 (Japan), Japan
13014,"Sealand, England, 1001, United Kingdom", United Kingdom, United Kingdom
13015,"Rio Pomba, Microrregião Ubá, Mesorregião Zona da Mata, Minas Gerais, Região Sudeste, 36180000, Brasil", Brasil, Brazil
13016,"Parallel Universe, Walton Hills, Cuyahoga County, Ohio, 44146, United States of America", United States of America, United States of America
13018,"Coruscant Glade, Baldivis, Western Australia, 6171, Australia", Australia, Australia
13019,"東京都, 中央区, 日本 (Japan)", 日本 (Japan), Japan
13021,"Poplar Rise, Bramley, Leeds, Yorkshire and the Humber, England, LS13, United Kingdom", United Kingdom, United Kingdom
13022,"Valongo, Porto, Área Metropolitana do Porto, Norte, Portugal", Portugal, Portugal
13023,"Bekasi, Jawa Barat, 17144, Indonesia", Indonesia, Indonesia
13024,"Civic Center of Greater Des Moines, Walnut Street, Court District, Des Moines, Polk County, Iowa, 50309, United States of America", United States of America, United States of America
13026,"Tagaytay, Cavite, Calabarzon, 4120, Philippines", Philippines, Philippines
13027,"چنیوٹ, Faisalābād District, پنجاب, 35400, پاکستان", پاکستان, Pakistan
13028,"Southern, Midland, Midland County, Texas, 79701, United States of America", United States of America, United States of America
13030,"بيروت, رأس بيروت, محافظة بيروت, لبنان  Lebanon", لبنان  Lebanon, Lebanon  Lebanon
13032,"Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa", South Africa, South Africa
13033,"Brightwaters, Suffolk County, New York, 11718, United States of America", United States of America, United States of America
13036,"Louisiana, United States of America", United States of America, United States of America
13037,"Appalachia, Wise County, Virginia, 24216, United States of America", United States of America, United States of America
13038,"Boston, Suffolk County, Massachusetts, United States of America", United States of America, United States of America
13039,"Cambridge, Middlesex County, Massachusetts, United States of America", United States of America, United States of America
13041,"Φαντασία, Μεγάλου Αλεξάνδρου, Ελασσόνα, Δήμος Ελασσόνας, Περιφερειακή Ενότητα Λάρισας, Περιφέρεια Θεσσαλίας, Θεσσαλία - Στερεά Ελλάδα, 40200, Ελλάδα", Ελλάδα,Hellas
13042,"Soldotna, Kenai Peninsula, Alaska, United States of America", United States of America, United States of America
13043,"Hempstead, Nassau County, New York, 11550, United States of America", United States of America, United States of America
13048,"Libertad, Distrito Rojas, Barinas, Venezuela", Venezuela, Venezuela
13049,"Romans, Bourg-en-Bresse, Ain, Auvergne-Rhône-Alpes, France métropolitaine, 01400, France", France, France
13050,"Norman, Oklahoma, United States of America", United States of America, United States of America
13052,"King Edwards Road, Ladywood, Birmingham, West Midlands Combined Authority, West Midlands, England, B1 2SL, United Kingdom", United Kingdom, United Kingdom
13053,"Olta, Departamento General Belgrano, La Rioja, F5383, Argentina", Argentina, Argentina
13054,"นางนา, ถนนสุขุมวิท, กรุงเทพมหานคร, เขตบางนา, 10260, ประเทศไทย", ประเทศไทย, Thailand
13056,"Bizkaia, Euskadi, España", España,Spain
13057,"Berlin, Camden County, New Jersey, United States of America", United States of America, United States of America
13058,"Hobart, City of Hobart, Tasmania, Australia", Australia, Australia
13059,"عجمان, United Arab Emirates", United Arab Emirates, United Arab Emirates
